Ada,Aidat,Balkon Durumu,Balkon Metrekare,Balkon SayÄ±sÄ±,Balkon Sayısı,Balkon Tipi,Banyo Metrekare,Banyo SayÄ±sÄ±,Banyo Sayısı,BinanÄ±n Kat SayÄ±sÄ±,BinanÄ±n YaÅŸÄ±,Binanın Kat Sayısı,Binanın Yaşı,BrÃ¼t Metrekare,Brüt Metrekare,BulunduÄŸu Kat,Bulunduğu Kat,EÅŸya Durumu,Eşya Durumu,Fiyat Durumu,GÃ¶rÃ¼ntÃ¼lÃ¼ Gezilebilir mi?,Görüntülü Gezilebilir mi?,IsÄ±tma Tipi,Isıtma Tipi,Kategorisi,Kira Getirisi,Krediye Uygunluk,KullanÄ±m Durumu,Kullanım Durumu,Net Metrekare,Oda SayÄ±sÄ±,Oda Sayısı,Pafta,Parsel,Salon Metrekare,Site Ä°Ã§erisinde,Site İçerisinde,Takas,Tapu Durumu,Tipi,TÃ¼rÃ¼,Türü,WC Metrekare,WC SayÄ±sÄ±,WC Sayısı,YapÄ± Durumu,YapÄ± Tipi,Yapı Durumu,Yapı Tipi,YatÄ±rÄ±ma Uygunluk,Yatırıma Uygunluk,Zemin Etüdü,Ä°lan GÃ¼ncelleme Tarihi,Ä°lan NumarasÄ±,Ä°lan OluÅŸturma Tarihi,Ä°potek Durumu,İlan Güncelleme Tarihi,İlan Numarası,İlan Oluşturma Tarihi,İpotek Durumu,URL,FİYAT,KONUM
,,Var,,,,,15 M2,,2,,,3,4,,120 M2,,Bahçe Dublex,,Boş,Genel Fiyat,,,,Klimalı,Satılık,,Bilinmiyor,,Kiracı Oturuyor,100 M2,,2+2,,,,,Hayır,,Kat Mülkiyeti,Daire,,Konut,,,1,,,İkinci El,,,,,,,,,17 Aralık 2023,13493440,01 Temmuz 2023,Yok,https://www.emlakjet.com//ilan/mugla-gokova-merkezde-22-dubleks-daire-13493440/,5.500.000 TL,Muğla - Ula - Gökova Mh.
,,,,,,,,,1,,,3,0 (Yeni),,95 M2,,2.Kat,,,Genel Fiyat,,,,Yerden Isıtma,Satılık,,Krediye Uygun,,Boş,85 M2,,2+1,,,,,Hayır,Var,Kat İrtifakı,Daire,,Konut,,,,,,Sıfır,Betonarme,,Bilinmiyor,,,,,,23 Aralık 2023,14440574,23 Aralık 2023,,https://www.emlakjet.com//ilan/ortaca-karaburun-mahallesinde-havuzlu-luks-21-yerden-isitmali-asansorlu-satilik-daire-14440574/,2.450.000 TL,Muğla - Ortaca - Karaburun Mh.
,,,,,,,,,2,,,2,0 (Yeni),,200 M2,,Villa Tipi,,Boş,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun Değil,,Boş,185 M2,,4+1,,,,,Hayır,Yok,,Daire,,Konut,,,,,,Sıfır,,,,,,,,,23 Aralık 2023,14440065,23 Aralık 2023,,https://www.emlakjet.com//ilan/marmaris-hisaronun-de-41-satilik-sifir-villa-14440065/,17.000.000 TL,Muğla - Marmaris - Hisarönü Mh.
,,,,,,,,,2,,,2,11-15,,120 M2,,1.Kat,,Eşyalı,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun Değil,,Boş,100 M2,,3+1,,,,,Hayır,Yok,,Daire,,Konut,,,,,,İkinci El,,,,,,,,,23 Aralık 2023,14439863,23 Aralık 2023,,https://www.emlakjet.com//ilan/marmaris-turunc-ta-havuzlu-sitede-31-satilik-daire-14439863/,6.650.000 TL,Muğla - Marmaris - Turunç Mh.
,500 TL,Var,,,1,,,,2,,,5,4,,103 M2,,2.Kat,,Boş,Genel Fiyat,,Hayır,,Merkezi (Pay Ölçer),Satılık,,Krediye Uygun,,Kiracı Oturuyor,84 M2,,2+1,,,,,Evet,,,Daire,,Konut,,,2,,,,,,,,,,,,22 Aralık 2023,14438101,22 Aralık 2023,,https://www.emlakjet.com//ilan/yeni-toki-sahibinden-ara-kat-21-14438101/,3.480.000 TL,Muğla - Menteşe - Kötekli Mh.
,,Var,,,2,,,,2,,,3,0 (Yeni),,102 M2,,3.Kat,,Boş,Genel Fiyat,,Evet,,Güneş Enerjisi,Satılık,,Krediye Uygun,,Boş,82 M2,,3+1,,,,,Hayır,Yok,,Daire,,Konut,,,2,,,Sıfır,Betonarme,,Bilinmiyor,,,,,,22 Aralık 2023,14434854,22 Aralık 2023,,https://www.emlakjet.com//ilan/ortaca-merkez-de-31-sifir-daire-satilik-14434854/,3.850.000 TL,Muğla - Ortaca - Beşköprü Mh.
,,Var,,,2,,,,2,,,4,16-20,,80 M2,,1.Kat,,Eşyalı,Genel Fiyat,,Evet,,Klimalı,Satılık,20000 TL,Krediye Uygun,,Boş,70 M2,,2+1,,,,,Hayır,,Kat Mülkiyeti,Daire,,Konut,,,,,,İkinci El,Betonarme,,Yatırıma Uygun,,,,,,22 Aralık 2023,14434561,22 Aralık 2023,,https://www.emlakjet.com//ilan/marmaris-merkezde-sevgi-yoluna-cephe-21-satilik-daire-14434561/,3.900.000 TL,Muğla - Marmaris - Tepe Mh.
,,,,,,,,,1,,,3,3,,80 M2,,Bahçe Katı,,Eşyalı,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Mülk Sahibi Oturuyor,75 M2,,2+1,,,,,Hayır,Yok,,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,21 Aralık 2023,14428167,20 Aralık 2023,,https://www.emlakjet.com//ilan/armutalan-da-genc-binada-mustakil-girisli-21-satilik-daire-14428167/,7.600.000 TL,Muğla - Marmaris - Armutalan Mh.
,,,,,,,,,1,,,3,0 (Yeni),,90 M2,,2.Kat,,,Genel Fiyat,,,,Merkezi Doğalgaz,Satılık,,Krediye Uygun,,Boş,85 M2,,2+1,,,,,Hayır,Var,Kat İrtifakı,Daire,,Konut,,,,,,Sıfır,Betonarme,,Bilinmiyor,,,,,,21 Aralık 2023,14427784,20 Aralık 2023,,https://www.emlakjet.com//ilan/ortaca-karaburun-mahallesinde-kaloriferli-21-sifir-satilik-daire-14427784/,2.450.000 TL,Muğla - Ortaca - Karaburun Mh.
,,Var,,,1,Açık Balkon,,,1,,,2,0 (Yeni),,85 M2,,1.Kat,,Boş,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,75 M2,,2+1,,,,,Hayır,Yok,Kat Mülkiyeti,Daire,,Konut,,,1,,,Sıfır,Betonarme,,,,,,,,20 Aralık 2023,14426872,20 Aralık 2023,Yok,https://www.emlakjet.com//ilan/deniz-emlak-tan-ortaca-merkezde-satilik-21-daire-14426872/,2.750.000 TL,Muğla - Ortaca - Terzialiler Mh.
,,Var,,,1,Açık Balkon,,,1,,,3,0 (Yeni),,50 M2,,Yüksek Giriş,,,Genel Fiyat,,,,Klimalı,Satılık,,Bilinmiyor,,Boş,45 M2,,1+1,,,,,Hayır,,,Daire,,Konut,,,,,,,,,,,,,,,23 Aralık 2023,14426474,20 Aralık 2023,,https://www.emlakjet.com//ilan/mugla-ortaca-cumhuriyet-mah-11-satilik-14426474/,1.600.000 TL,Muğla - Ortaca - Cumhuriyet Mh.
,,Var,,,,,,,1,,,4,11-15,,60 M2,,2.Kat,,,Genel Fiyat,,Hayır,,Kombi Doğalgaz,Satılık,,Krediye Uygun,,Kiracı Oturuyor,55 M2,,2+1,,,,,Hayır,,,Daire,,Konut,,,,,,,,,Yatırıma Uygun,,,,,,20 Aralık 2023,14425342,20 Aralık 2023,,https://www.emlakjet.com//ilan/mugla-mentese-kotekli-mah-21-satilik-daire-14425342/,1.975.000 TL,Muğla - Menteşe - Kötekli Mh.
,500 TL,Var,20 M2,,2,,30 M2,,2,,,3,4,,300 M2,,Villa Tipi,,,Genel Fiyat,,Hayır,,Kombi Doğalgaz,Satılık,50000 TL,Krediye Uygun,,Boş,200 M2,,3.5+1,,,80 M2,,Hayır,Var,,Daire,,Konut,,,2,,,İkinci El,Betonarme,,Yatırıma Uygun,Var,,,,,20 Aralık 2023,14425192,20 Aralık 2023,Var,https://www.emlakjet.com//ilan/butik-site-de-havuzlu-villa-14425192/,8.500.000 TL,Muğla - Ula - Demirtaş Mh.
,,,,,,,,,1,,,3,0 (Yeni),,60 M2,,Kot 2 (-2).Kat,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,55 M2,,1+1,,,,,Hayır,Var,Kat İrtifakı,Daire,,Konut,,,,,,Sıfır,,,Bilinmiyor,,,,,,20 Aralık 2023,14423001,20 Aralık 2023,,https://www.emlakjet.com//ilan/ortaca-karaburun-mahallesinde-satilik-11-havuzlu-daire-14423001/,1.750.000 TL,Muğla - Ortaca - Karaburun Mh.
,,,,,,,,,1,,,3,0 (Yeni),,65 M2,,3.Kat,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,60 M2,,1+1,,,,,Hayır,Yok,Bilinmiyor,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,21 Aralık 2023,14423000,20 Aralık 2023,,https://www.emlakjet.com//ilan/mugla-ortaca-da-satilik-11-daire-14423000/,1.650.000 TL,Muğla - Ortaca - Yerbelen Mh.
,,,,,,,,,1,,,3,0 (Yeni),,90 M2,,1.Kat,,Boş,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,85 M2,,2+1,,,,,Hayır,Var,Kat İrtifakı,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,20 Aralık 2023,14422999,20 Aralık 2023,,https://www.emlakjet.com//ilan/mugla-ortaca-da-havuzlu-21-acil-satilik-daire-14422999/,1.990.000 TL,Muğla - Ortaca - Yerbelen Mh.
,,,,,,,,,1,,,2,21 Ve Üzeri,,100 M2,,2.Kat,,,Genel Fiyat,,,,Sobalı,Satılık,,Krediye Uygun,,Boş,90 M2,,3+1,,,,,Hayır,Yok,,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,20 Aralık 2023,14422993,20 Aralık 2023,,https://www.emlakjet.com//ilan/orhaniye-de-uygun-fiyatli-100-m2-31-satilik-firsat-daire-14422993/,1.900.000 TL,Muğla - Menteşe - Orhaniye Mh.
,,,,,,,,,1,,,2,0 (Yeni),,85 M2,,1.Kat,,,Genel Fiyat,,,,Kombi Doğalgaz,Satılık,,Krediye Uygun Değil,,Boş,80 M2,,2+1,,,,,Hayır,Var,Bilinmiyor,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,20 Aralık 2023,14422992,20 Aralık 2023,,https://www.emlakjet.com//ilan/mentese-bayir-da-okula-yakin-85-m2-21-projeden-satilik-daire-14422992/,2.750.000 TL,Muğla - Menteşe - Bayır Mh.
,,,,,,,,,2,,,4,21 Ve Üzeri,,280 M2,,Çatı Katı,,Boş,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun Değil,,Boş,220 M2,,4+1,,,,,Hayır,Yok,,Daire,,Konut,,,,,,İkinci El,,,,,,,,,23 Aralık 2023,14439859,23 Aralık 2023,,https://www.emlakjet.com//ilan/marmaris-kemeralti-nda-denize-cok-yakin-41-satilik-daire-14439859/,9.600.000 TL,Muğla - Marmaris - Kemeraltı Mh.
,,,,,,,,,2,,,3,11-15,,180 M2,,1.Kat,,Boş,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,150 M2,,3+1,,,,,Hayır,Yok,,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,22 Aralık 2023,14435780,22 Aralık 2023,,https://www.emlakjet.com//ilan/ortaca-cumhuriyet-mah-satilik-31-daireler-14435780/,2.850.000 TL,Muğla - Ortaca - Cumhuriyet Mh.
,,,,,,,,,1,,,2,21 Ve Üzeri,,85 M2,,1.Kat,,Boş,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun Değil,,Boş,75 M2,,2+1,,,,,Hayır,Yok,,Daire,,Konut,,,,,,İkinci El,,,,,,,,,22 Aralık 2023,14435269,22 Aralık 2023,,https://www.emlakjet.com//ilan/marmaris-kemeralti-nda-cadde-uzerinde-21-satilik-daire-14435269/,5.500.000 TL,Muğla - Marmaris - Kemeraltı Mh.
,,,,,,,,,1,,,3,21 Ve Üzeri,,60 M2,,2.Kat,,Boş,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun Değil,,Kiracı Oturuyor,50 M2,,1+1,,,,,Hayır,Yok,,Daire,,Konut,,,,,,İkinci El,,,,,,,,,22 Aralık 2023,14435263,22 Aralık 2023,,https://www.emlakjet.com//ilan/marmaris-hatipirimi-de-satilik-11-daire-14435263/,2.750.000 TL,Muğla - Marmaris - Hatipirimi Mh.
,,Var,,,,,,,1,,,3,16-20,,150 M2,,2.Kat,,,Genel Fiyat,,,,Kombi Doğalgaz,Satılık,25000 TL,Bilinmiyor,,Kiracı Oturuyor,120 M2,,3+1,,,,,Hayır,,,Daire,,Konut,,,,,,,,,,,,,,,21 Aralık 2023,14429933,21 Aralık 2023,,https://www.emlakjet.com//ilan/armutalan-da-yatirimlik-dubleks-daire-14429933/,5.900.000 TL,Muğla - Marmaris - Armutalan Mh.
,,,,,,,,,1,,,3,11-15,,100 M2,,Düz Giriş (Zemin),,Boş,Genel Fiyat,,,,Kombi Doğalgaz,Satılık,,Krediye Uygun Değil,,Boş,90 M2,,2+1,,,,,Hayır,Yok,,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,21 Aralık 2023,14428654,21 Aralık 2023,,https://www.emlakjet.com//ilan/mugla-mentese-orhaniye-de-satilik-21-daire-14428654/,3.250.000 TL,Muğla - Menteşe - Emirbeyazıt Mh.
,,,,,,,,,1,,,2,2,,46 M2,,2.Kat,,Boş,Genel Fiyat,,,,Kombi Doğalgaz,Satılık,,Krediye Uygun Değil,,Boş,45 M2,,1+1,,,,,Hayır,Yok,,Daire,,Konut,,,1,,,Sıfır,,,,,,,,,19 Aralık 2023,14420164,19 Aralık 2023,,https://www.emlakjet.com//ilan/emlakyapno48-den-mugla-mentese-yenikoy-de-satilik-daire-14420164/,1.975.000 TL,Muğla - Menteşe - Yeniköy Mh.
,,,,,,,,,1,,,4,3,,60 M2,,2.Kat,,,Genel Fiyat,,,,Kombi Doğalgaz,Satılık,,Krediye Uygun,,Boş,55 M2,,2+1,,,,,Hayır,,,Daire,,Konut,,,,,,,,,,,,,,,19 Aralık 2023,14419761,19 Aralık 2023,,https://www.emlakjet.com//ilan/kurt-emlaktan-koteklide-satilik-21-genis-daire-14419761/,2.650.000 TL,Muğla - Menteşe - Kötekli Mh.
,,,,,,,,,1,,,5,11-15,,110 M2,,2.Kat,,,Genel Fiyat,,,,Kombi Doğalgaz,Satılık,,Krediye Uygun,,Boş,100 M2,,2+1,,,,,Hayır,Yok,Bilinmiyor,Daire,,Konut,,,,,,,Betonarme,,Bilinmiyor,,,,,,19 Aralık 2023,14417474,19 Aralık 2023,,https://www.emlakjet.com//ilan/akyol-da-komple-yenilenmis-depolu-arsa-payi-yuksek-21-daire-14417474/,3.850.000 TL,Muğla - Menteşe - Muslihittin Mh.
,,Var,,,,,,,1,,,2,5-10,,50 M2,,Yüksek Giriş,,,Genel Fiyat,,Hayır,,Kombi Doğalgaz,Satılık,,Krediye Uygun,,Kiracı Oturuyor,45 M2,,1+1,,,,,Hayır,,,Daire,,Konut,,,,,,,,,Yatırıma Uygun,,,,,,18 Aralık 2023,14414513,18 Aralık 2023,,https://www.emlakjet.com//ilan/mugla-mentese-yenikoy-mah-11-satilik-daire-14414513/,1.375.000 TL,Muğla - Menteşe - Yeniköy Mh.
,,Var,,,1,,,,3,,,3,0 (Yeni),,95 M2,,1.Kat,,Boş,Genel Fiyat,,Hayır,,Klimalı,Satılık,,Krediye Uygun,,Boş,90 M2,,2+1,,,,,Hayır,Yok,,Daire,,Konut,,,2,,,Yapım Aşamasında,Betonarme,,Yatırıma Uygun,,,,,,18 Aralık 2023,14414070,18 Aralık 2023,,https://www.emlakjet.com//ilan/mugla-ortaca-karaburun-mahallesinde-21-90-m2-yeni-daire-satilik-14414070/,2.400.000 TL,Muğla - Ortaca - Karaburun Mh.
,150 TL,,,,,,,,1,,,3,21 Ve Üzeri,,50 M2,,2.Kat,,Eşyalı,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,45 M2,,1+1,,,,,Hayır,Yok,,Daire,,Konut,,,,,,İkinci El,Betonarme,,Bilinmiyor,,,,,,18 Aralık 2023,14412960,18 Aralık 2023,,https://www.emlakjet.com//ilan/anayol-uzerinde-11-ticari-tapulu-daire-14412960/,3.700.000 TL,Muğla - Marmaris - Tepe Mh.
,,,,,,,,,2,,,3,11-15,,145 M2,,2.Kat,,Boş,Genel Fiyat,,,,Isıtma Yok,Satılık,,Krediye Uygun,,Mülk Sahibi Oturuyor,130 M2,,3+1,,,,,Hayır,Yok,Kat İrtifakı,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,18 Aralık 2023,14412536,18 Aralık 2023,,https://www.emlakjet.com//ilan/ortaca-cayli-mh-145-m2-31-orta-kat-satilik-daire-14412536/,2.750.000 TL,Muğla - Ortaca - Çaylı Mh.
,,,,,,,,,2,,,3,0 (Yeni),,120 M2,,2.Kat,,,Genel Fiyat,,,,Isıtma Yok,Satılık,,Krediye Uygun,,Boş,95 M2,,3+1,,,,,Hayır,Var,Kat İrtifakı,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,18 Aralık 2023,14412473,18 Aralık 2023,,https://www.emlakjet.com//ilan/ortaca-karaburun-mah-satilik-31-120m2-daire-14412473/,3.100.000 TL,Muğla - Ortaca - Karaburun Mh.
,,,,,,,,,1,,,5,21 Ve Üzeri,,120 M2,,1.Kat,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Kiracı Oturuyor,110 M2,,3+1,,,,,Hayır,Yok,Kat İrtifakı,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,18 Aralık 2023,14412470,18 Aralık 2023,,https://www.emlakjet.com//ilan/yildirim-emlak-tan-ortaca-merkezde-31-120-m2-daire-14412470/,1.850.000 TL,Muğla - Ortaca - Terzialiler Mh.
,150 TL,,,,,,,,2,,,2,5-10,,130 M2,,Yüksek Giriş,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,115 M2,,3+1,,,,,Hayır,Yok,Kat İrtifakı,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,18 Aralık 2023,14412469,18 Aralık 2023,,https://www.emlakjet.com//ilan/ortaca-merkezde-satilik-31-ebevyn-banyolu-130m2-daire-14412469/,3.450.000 TL,Muğla - Ortaca - Beşköprü Mh.
,,,,,,,,,2,,,3,0 (Yeni),,100 M2,,Yüksek Giriş,,,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,90 M2,,2+1,,,,,Hayır,Yok,Kat İrtifakı,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,18 Aralık 2023,14412467,18 Aralık 2023,,https://www.emlakjet.com//ilan/yildirim-emlak-tan-ortaca-cayli-mah-satilik-21-100m2-daire-14412467/,3.000.000 TL,Muğla - Ortaca - Çaylı Mh.
,,,,,,,,,1,,,4,0 (Yeni),,95 M2,,2.Kat,,Boş,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,80 M2,,2+1,,,,,Hayır,Yok,,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,17 Aralık 2023,14411058,17 Aralık 2023,,https://www.emlakjet.com//ilan/mugla-ortaca-yerbelende-satlik-kelpir-2-asansorlu-21-yeni-daire-14411058/,1.990.000 TL,Muğla - Ortaca - Yerbelen Mh.
,,,,,,,,,2,,,3,0 (Yeni),,105 M2,,2.Kat,,Boş,Genel Fiyat,,,,Klimalı,Satılık,,Krediye Uygun,,Boş,90 M2,,3+1,,,,,Hayır,Yok,,Daire,,Konut,,,,,,,,,Bilinmiyor,,,,,,16 Aralık 2023,14403970,16 Aralık 2023,,https://www.emlakjet.com//ilan/cittaslow-dan-gelisim-de-kelepir-fiyata-31-satilik-sifir-daire-14403970/,3.375.000 TL,Muğla - Köyceğiz - Gelişim Mh.
